qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
A-NK36	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.219	1024	1	7	3	1019	43	1066	0	1840
A-NK60	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__	97.337	1014	14	13	3	1004	33	1045	0	1711
A-NK27	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	99.203	1004	1	7	4	1000	1	1004	0	1803
A-NK10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.608	1045	6	19	5	1030	42	1086	0	1773
A-NK52	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	96.166	939	0	36	4	906	12	950	0	1502
A-NK21	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	96.649	1134	7	30	4	1106	41	1174	0	1855
A-NK44	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	96.92	1039	20	12	4	1031	40	1077	0	1731
A-NK12	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.872	1064	8	4	13	1072	1	1064	0	1895
A-NK24	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	94.619	985	4	48	4	939	40	1024	0	1480
A-NK55	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.822	1019	1	11	10	1017	7	1025	0	1805
A-NK41	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.735	927	6	15	1	925	2	915	0	1581
A-NK04	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	95.306	980	3	43	5	941	43	1022	0	1515
A-NK23	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.075	1039	8	12	3	1030	38	1075	0	1797
A-NK39	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.928	1026	1	10	1	1016	41	1066	0	1825
A-NK50	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.727	1021	2	11	4	1013	43	1063	0	1803
A-NK11	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.148	1087	15	16	1	1072	37	1122	0	1821
A-NK19	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.733	1026	5	8	1	1018	37	1062	0	1816
A-NK57	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	98.622	1016	4	10	9	1014	42	1057	0	1790
A-NK35	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.123	1026	2	7	1	1019	40	1065	0	1838
A-NK58	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.649	1036	3	11	1	1025	40	1075	0	1825
A-NK40	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.849	1043	1	11	1	1032	40	1082	0	1849
A-NK14	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.284	1049	5	12	1	1036	40	1088	0	1825
A-NK17	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.109	1107	11	21	1	1088	40	1144	0	1847
A-NK07	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.168	1037	3	16	1	1022	40	1075	0	1796
A-NK20	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.122	1112	10	21	2	1091	40	1151	0	1857
A-NK49	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.456	1036	5	11	2	1026	40	1075	0	1814
A-NK02	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.129	1033	8	1	13	1044	1	1033	0	1857
A-NK03	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	97.359	1098	8	21	2	1078	1	1098	0	1847
A-NK53	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.41	1017	2	4	2	1014	46	1062	0	1842
A-NK59	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.679	1034	12	12	6	1027	42	1075	0	1766
A-NK05	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.187	1048	4	15	3	1035	41	1088	0	1816
A-NK22	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	99.497	994	1	4	9	998	11	1004	0	1805
A-NK31	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.95	1048	6	5	2	1044	39	1086	0	1869
A-NK01	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	96.915	1102	8	26	9	1085	6	1106	0	1823
A-NK30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.554	1037	5	10	3	1029	17	1053	0	1823
A-NK54	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	97.703	1045	7	17	3	1032	33	1075	0	1781
A-NK09	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.618	1013	6	8	3	1007	40	1052	0	1786
A-NK42	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.743	1034	4	9	6	1030	42	1075	0	1829
A-NK16	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.927	1025	2	9	4	1020	44	1067	0	1823
A-NK33	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.634	1025	3	11	6	1019	44	1068	0	1805
A-NK25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.44	1071	0	6	2	1066	41	1111	0	1940
A-NK08	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	96.878	1089	10	24	1	1065	39	1127	0	1801
A-NK13	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.73	1024	3	10	1	1014	39	1062	0	1810
A-NK43	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.929	1027	1	10	1	1017	39	1065	0	1827
A-NK38	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.548	1033	6	9	6	1029	43	1075	0	1816
NP02	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.121	1024	3	6	2	1020	43	1065	0	1836
NP87	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	96.169	1044	21	19	3	1027	7	1050	0	1688
NP135	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__	98.22	1011	9	9	4	1006	12	1021	0	1759
NP243	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Pimelobacter; s__	97.714	1006	12	11	7	1002	15	1019	0	1720
NP211	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.501	1002	2	3	7	1005	22	1023	0	1820
NP208	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Cryocola; s__	97.433	1052	12	15	4	1040	31	1082	0	1779
NP187	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; s__	97.874	1035	11	11	13	1036	18	1052	0	1779
NP114	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	96.034	1059	21	21	5	1042	9	1067	0	1703
NP236	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.681	1078	17	8	9	1078	39	1116	0	1845
NP89	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	95.885	1045	25	18	3	1030	7	1050	0	1676
NP235	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.321	1031	4	3	14	1041	1	1031	0	1862
NP207	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	97.383	1070	13	15	4	1058	40	1109	0	1807
NP104	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	96.894	998	18	13	5	989	11	1008	0	1659
NP120	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__dextranolyticus	98.322	1013	12	5	5	1012	32	1044	0	1783
NP113	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.425	1016	13	3	9	1021	38	1053	0	1786
NP91	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__	98.622	1016	8	6	4	1013	12	1027	0	1794
NP156	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.274	985	13	4	4	984	31	1015	0	1722
NP157	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__amylolyticus	97.132	1081	20	11	14	1087	41	1117	0	1814
NP163	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Pimelobacter; s__	98.189	994	10	8	18	1004	1	993	0	1729
NP174	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	98.551	1035	3	12	5	1028	43	1076	0	1818
NP73	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Erwinia; s__	98.811	1093	5	8	2	1086	8	1100	0	1940
NP133	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__	99.171	965	4	4	6	966	40	1004	0	1735
NP227	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	99.039	1041	3	7	8	1041	44	1084	0	1860
NP137	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans	96.565	1048	17	19	9	1038	46	1092	0	1718
NP175	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	98.805	1004	4	8	15	1010	1	1004	0	1781
NP158	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus	97.52	1008	10	15	13	1005	1	1008	0	1709
NP162	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas; s__mexicana	95.99	1147	6	40	16	1122	49	1195	0	1827
NP180	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.701	1001	3	10	8	999	35	1034	0	1768
NP166	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__	98.411	1070	7	10	7	1066	14	1083	0	1873
NP188	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.322	1073	12	6	4	1070	33	1105	0	1877
NP90	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans	98.625	1018	11	3	17	1031	9	1026	0	1799
NP209	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans	98.577	984	12	2	17	998	7	990	0	1738
NP153	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__meningoseptica	95.983	1170	8	39	5	1135	29	1198	0	1864
NP195	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__	98.81	1008	1	11	4	1000	23	1030	0	1784
NP224	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.669	1052	5	9	23	1068	4	1052	0	1857
NP185	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.691	1126	18	8	10	1127	40	1165	0	1929
NP169	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.31	1078	15	14	21	1087	1	1075	0	1818
NP228	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.196	1053	6	13	17	1059	1	1050	0	1827
NP86	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__	98.817	1014	5	6	5	1012	18	1030	0	1799
NP233	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.633	1056	11	14	17	1061	1	1053	0	1799
NP66	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__	99.179	974	4	4	15	986	34	1005	0	1751
NP20	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__oxytoca	99.017	1017	8	2	15	1029	55	1071	0	1821
NP225	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.871	974	10	1	11	983	43	1016	0	1736
NP17	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__laterosporus	99.599	997	4	0	21	1017	1	997	0	1820
NP76	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus	98.724	1019	5	8	12	1022	1	1019	0	1803
NP43	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__oxytoca	99.205	1006	6	2	14	1017	55	1060	0	1812
NP205	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans	97.889	1042	5	17	6	1030	15	1056	0	1786
NP127	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	98.922	1020	5	6	8	1021	46	1065	0	1818
NP184	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	96.089	1125	26	18	2	1110	32	1154	0	1818
NP165	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.264	1037	9	9	2	1029	29	1065	0	1807
NP201	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.499	1066	6	10	20	1078	1	1063	0	1871
NP50	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	94.987	1137	14	42	2	1095	15	1151	0	1751
NP80	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus	98.455	1100	14	3	14	1110	1	1100	0	1934
NP183	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.183	1065	19	11	8	1062	39	1102	0	1790
NP52	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__oxytoca	98.297	998	6	11	15	1001	55	1052	0	1738
NP150	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.185	1047	13	6	1	1041	35	1081	0	1823
NP131	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__gladioli	95.1	898	38	6	7	900	46	941	0	1410
NP155	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.821	1018	3	9	1	1009	35	1052	0	1805
NP33	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.119	1022	3	6	1	1016	20	1041	0	1832
NP230	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	98.119	1063	11	9	1	1056	33	1093	0	1844
NP244	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.668	1115	15	11	3	1107	36	1149	0	1905
NP218	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.162	1034	7	12	3	1024	18	1051	0	1794
NP72	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.551	966	2	12	3	957	43	1007	0	1696
NP40	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.302	1001	2	15	14	999	49	1049	0	1740
NP140	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__	98.325	1015	6	10	3	1007	16	1029	0	1770
NP149	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__	98.73	1181	8	7	4	1177	2	1182	0	2091
NP41	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__	98.907	1006	6	5	12	1012	46	1051	0	1792
NP118	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__	88.323	1002	106	11	21	1015	1	998	0	1192
NP117	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	94.033	1039	18	44	3	997	9	1047	0	1535
NP105	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	99.201	1001	3	5	15	1010	56	1056	0	1799
NP145	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	97.073	1025	19	11	3	1017	21	1044	0	1716
NP61	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus	97.67	1030	6	18	4	1015	1	1030	0	1753
NP164	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Cryocola; s__	98.408	1005	7	9	4	1001	31	1033	0	1759
NP124	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	94.304	1071	17	41	4	1035	3	1068	0	1600
NP14	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.104	1055	9	11	15	1058	52	1106	0	1827
NP134	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.656	1042	10	4	3	1041	34	1074	0	1844
NP95	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__	99.593	984	2	2	3	984	35	1018	0	1794
NP57	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__cloacae	98.476	1050	11	5	15	1059	7	1056	0	1845
NP101	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.156	976	14	4	8	979	39	1014	0	1700
NP220	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	97.881	1038	5	17	3	1023	39	1076	0	1779
NP123	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	99.485	970	3	2	12	979	52	1021	0	1762
NP59	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.593	995	3	11	14	997	55	1049	0	1749
NP115	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__globiformis	98.802	1002	5	6	5	1001	43	1042	0	1777
NP232	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.272	984	15	2	6	987	39	1022	0	1722
NP11	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.307	1010	6	1	13	1021	1	1010	0	1825
NP116	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__gladioli	98.427	1017	8	8	3	1011	41	1057	0	1783
NP49	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.503	1007	4	1	14	1019	1	1007	0	1831
NP217	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	98.351	1031	5	12	13	1031	1	1031	0	1799
NP186	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	96.791	1153	14	23	1	1130	15	1167	0	1910
NP202	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.286	1050	16	2	3	1050	32	1081	0	1838
NP219	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; s__	99.196	995	2	6	13	1001	18	1012	0	1788
NP214	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.047	1049	9	1	14	1061	1	1049	0	1881
NP159	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__chocolatum	94.504	1128	34	28	6	1105	12	1139	0	1714
NP179	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.554	981	18	6	10	984	40	1020	0	1674
NP03	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	98.087	993	11	8	1	985	27	1019	0	1722
NP93	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.096	998	13	6	7	998	41	1038	0	1733
NP125	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum; s__	99.189	987	5	3	12	995	19	1005	0	1775
NP221	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; s__	97.933	1016	4	17	6	1005	38	1052	0	1744
NP176	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	97.904	1002	2	19	7	989	33	1034	0	1716
NP189	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava	96.454	1128	9	29	17	1113	56	1183	0	1832
NP203	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.609	1129	16	11	4	1122	36	1163	0	1925
NP21	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	93.93	972	9	49	1	923	19	989	0	1423
NP25	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.343	1026	6	11	9	1023	46	1071	0	1790
NP167	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.012	1071	17	15	6	1061	35	1105	0	1786
NP22	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	99.301	1001	3	4	3	999	38	1038	0	1807
NP161	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__	97.518	1128	4	24	3	1106	9	1136	0	1906
